Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
33,17:45:59.814,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
34,17:46:00.212,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
35,17:46:00.680,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
36,17:46:01.132,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
37,17:46:01.760,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
38,17:46:02.155,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
39,17:46:02.517,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,17:46:02.868,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
41,17:46:03.288,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
42,17:46:03.623,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
43,17:46:04.019,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
44,17:46:04.390,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
45,17:46:04.814,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
46,17:46:05.187,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
47,17:46:05.678,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
48,17:46:06.152,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
49,17:46:06.561,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
50,17:46:06.999,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
51,17:46:07.398,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
52,17:46:07.950,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
53,17:46:08.357,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
54,17:46:08.689,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
55,17:46:09.072,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
56,17:46:09.443,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
57,17:46:09.782,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
58,17:46:10.161,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
59,17:46:10.597,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
60,17:46:10.968,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
61,17:46:11.536,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
62,17:46:12.054,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
63,17:46:12.502,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
64,17:46:12.899,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
65,17:46:13.429,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
66,17:46:13.872,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
67,17:46:14.276,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
